model,encoder_type,color,shape,texture,spatial_2d,spatial_3d
Stable v1-4,CLIP ViT-L/14,0.3765,0.3576,0.4165,0.1246,0.3030
Stable v2,OpenCLIP ViT-H/14,0.5065,0.4221,0.4922,0.1342,0.3230
Composable + SD v2,OpenCLIP ViT-H/14,0.4063,0.3299,0.3645,0.0800,0.2847
Structured + SD v2,OpenCLIP ViT-H/14,0.4990,0.4218,0.4900,0.1386,0.3224
Attn-Exct + SD v2,OpenCLIP ViT-H/14,0.6400,0.4517,0.5963,0.1455,0.3222
GORS-unbiased + SD v2,OpenCLIP ViT-H/14,0.6414,0.4546,0.6025,0.1725,0.3300
GORS + SD v2,OpenCLIP ViT-H/14,0.6603,0.4785,0.6287,0.1815,0.3572
Stable XL,OpenCLIP ViT-bigG/14 + CLIP ViT-L/14,0.5879,0.4687,0.5299,0.2133,0.3566
Pixart-α-ft,T5 (t5-v1_1-xxl),0.6690,0.4927,0.6477,0.2064,0.3901
DALL·E 3,Unknown,0.7785,0.6205,0.7036,0.2865,0.3744